"cartodb_id","the_geom","the_geom_webmercator","uid","date","value","value_type"
1,,,"annual_mean_1880-01-01","1880-01-01T00:00:00Z",-0.2,"annual_mean"
2,,,"five_year_mean_1880-01-01","1880-01-01T00:00:00Z",-0.13,"five_year_mean"
3,,,"annual_mean_1881-01-01","1881-01-01T00:00:00Z",-0.12,"annual_mean"
4,,,"five_year_mean_1881-01-01","1881-01-01T00:00:00Z",-0.16,"five_year_mean"
5,,,"annual_mean_1882-01-01","1882-01-01T00:00:00Z",-0.1,"annual_mean"
6,,,"five_year_mean_1882-01-01","1882-01-01T00:00:00Z",-0.19,"five_year_mean"
7,,,"annual_mean_1883-01-01","1883-01-01T00:00:00Z",-0.21,"annual_mean"
8,,,"five_year_mean_1883-01-01","1883-01-01T00:00:00Z",-0.21,"five_year_mean"
9,,,"annual_mean_1884-01-01","1884-01-01T00:00:00Z",-0.28,"annual_mean"
10,,,"five_year_mean_1884-01-01","1884-01-01T00:00:00Z",-0.24,"five_year_mean"
11,,,"annual_mean_1885-01-01","1885-01-01T00:00:00Z",-0.32,"annual_mean"
12,,,"five_year_mean_1885-01-01","1885-01-01T00:00:00Z",-0.26,"five_year_mean"
13,,,"annual_mean_1886-01-01","1886-01-01T00:00:00Z",-0.31,"annual_mean"
14,,,"five_year_mean_1886-01-01","1886-01-01T00:00:00Z",-0.27,"five_year_mean"
15,,,"annual_mean_1887-01-01","1887-01-01T00:00:00Z",-0.33,"annual_mean"
16,,,"five_year_mean_1887-01-01","1887-01-01T00:00:00Z",-0.27,"five_year_mean"
17,,,"annual_mean_1888-01-01","1888-01-01T00:00:00Z",-0.2,"annual_mean"
18,,,"five_year_mean_1888-01-01","1888-01-01T00:00:00Z",-0.27,"five_year_mean"
19,,,"annual_mean_1889-01-01","1889-01-01T00:00:00Z",-0.12,"annual_mean"
20,,,"five_year_mean_1889-01-01","1889-01-01T00:00:00Z",-0.26,"five_year_mean"
21,,,"annual_mean_1890-01-01","1890-01-01T00:00:00Z",-0.37,"annual_mean"
22,,,"five_year_mean_1890-01-01","1890-01-01T00:00:00Z",-0.26,"five_year_mean"
23,,,"annual_mean_1891-01-01","1891-01-01T00:00:00Z",-0.24,"annual_mean"
24,,,"five_year_mean_1891-01-01","1891-01-01T00:00:00Z",-0.26,"five_year_mean"
25,,,"annual_mean_1892-01-01","1892-01-01T00:00:00Z",-0.27,"annual_mean"
26,,,"five_year_mean_1892-01-01","1892-01-01T00:00:00Z",-0.27,"five_year_mean"
27,,,"annual_mean_1893-01-01","1893-01-01T00:00:00Z",-0.3,"annual_mean"
28,,,"five_year_mean_1893-01-01","1893-01-01T00:00:00Z",-0.26,"five_year_mean"
29,,,"annual_mean_1894-01-01","1894-01-01T00:00:00Z",-0.31,"annual_mean"
30,,,"five_year_mean_1894-01-01","1894-01-01T00:00:00Z",-0.24,"five_year_mean"
31,,,"annual_mean_1895-01-01","1895-01-01T00:00:00Z",-0.21,"annual_mean"
32,,,"five_year_mean_1895-01-01","1895-01-01T00:00:00Z",-0.22,"five_year_mean"
33,,,"annual_mean_1896-01-01","1896-01-01T00:00:00Z",-0.15,"annual_mean"
34,,,"five_year_mean_1896-01-01","1896-01-01T00:00:00Z",-0.21,"five_year_mean"
35,,,"annual_mean_1897-01-01","1897-01-01T00:00:00Z",-0.11,"annual_mean"
36,,,"five_year_mean_1897-01-01","1897-01-01T00:00:00Z",-0.18,"five_year_mean"
37,,,"annual_mean_1898-01-01","1898-01-01T00:00:00Z",-0.28,"annual_mean"
38,,,"five_year_mean_1898-01-01","1898-01-01T00:00:00Z",-0.17,"five_year_mean"
39,,,"annual_mean_1899-01-01","1899-01-01T00:00:00Z",-0.16,"annual_mean"
40,,,"five_year_mean_1899-01-01","1899-01-01T00:00:00Z",-0.17,"five_year_mean"
41,,,"annual_mean_1900-01-01","1900-01-01T00:00:00Z",-0.09,"annual_mean"
42,,,"five_year_mean_1900-01-01","1900-01-01T00:00:00Z",-0.2,"five_year_mean"
43,,,"annual_mean_1901-01-01","1901-01-01T00:00:00Z",-0.15,"annual_mean"
44,,,"five_year_mean_1901-01-01","1901-01-01T00:00:00Z",-0.23,"five_year_mean"
45,,,"annual_mean_1902-01-01","1902-01-01T00:00:00Z",-0.27,"annual_mean"
46,,,"five_year_mean_1902-01-01","1902-01-01T00:00:00Z",-0.25,"five_year_mean"
47,,,"annual_mean_1903-01-01","1903-01-01T00:00:00Z",-0.35,"annual_mean"
48,,,"five_year_mean_1903-01-01","1903-01-01T00:00:00Z",-0.28,"five_year_mean"
49,,,"annual_mean_1904-01-01","1904-01-01T00:00:00Z",-0.44,"annual_mean"
50,,,"five_year_mean_1904-01-01","1904-01-01T00:00:00Z",-0.31,"five_year_mean"
51,,,"annual_mean_1905-01-01","1905-01-01T00:00:00Z",-0.28,"annual_mean"
52,,,"five_year_mean_1905-01-01","1905-01-01T00:00:00Z",-0.34,"five_year_mean"
53,,,"annual_mean_1906-01-01","1906-01-01T00:00:00Z",-0.23,"annual_mean"
54,,,"five_year_mean_1906-01-01","1906-01-01T00:00:00Z",-0.36,"five_year_mean"
55,,,"annual_mean_1907-01-01","1907-01-01T00:00:00Z",-0.4,"annual_mean"
56,,,"five_year_mean_1907-01-01","1907-01-01T00:00:00Z",-0.38,"five_year_mean"
57,,,"annual_mean_1908-01-01","1908-01-01T00:00:00Z",-0.43,"annual_mean"
58,,,"five_year_mean_1908-01-01","1908-01-01T00:00:00Z",-0.39,"five_year_mean"
59,,,"annual_mean_1909-01-01","1909-01-01T00:00:00Z",-0.47,"annual_mean"
60,,,"five_year_mean_1909-01-01","1909-01-01T00:00:00Z",-0.41,"five_year_mean"
61,,,"annual_mean_1910-01-01","1910-01-01T00:00:00Z",-0.42,"annual_mean"
62,,,"five_year_mean_1910-01-01","1910-01-01T00:00:00Z",-0.41,"five_year_mean"
63,,,"annual_mean_1911-01-01","1911-01-01T00:00:00Z",-0.44,"annual_mean"
64,,,"five_year_mean_1911-01-01","1911-01-01T00:00:00Z",-0.38,"five_year_mean"
65,,,"annual_mean_1912-01-01","1912-01-01T00:00:00Z",-0.35,"annual_mean"
66,,,"five_year_mean_1912-01-01","1912-01-01T00:00:00Z",-0.34,"five_year_mean"
67,,,"annual_mean_1913-01-01","1913-01-01T00:00:00Z",-0.34,"annual_mean"
68,,,"five_year_mean_1913-01-01","1913-01-01T00:00:00Z",-0.32,"five_year_mean"
69,,,"annual_mean_1914-01-01","1914-01-01T00:00:00Z",-0.16,"annual_mean"
70,,,"five_year_mean_1914-01-01","1914-01-01T00:00:00Z",-0.3,"five_year_mean"
71,,,"annual_mean_1915-01-01","1915-01-01T00:00:00Z",-0.11,"annual_mean"
72,,,"five_year_mean_1915-01-01","1915-01-01T00:00:00Z",-0.29,"five_year_mean"
73,,,"annual_mean_1916-01-01","1916-01-01T00:00:00Z",-0.34,"annual_mean"
74,,,"five_year_mean_1916-01-01","1916-01-01T00:00:00Z",-0.27,"five_year_mean"
75,,,"annual_mean_1917-01-01","1917-01-01T00:00:00Z",-0.4,"annual_mean"
76,,,"five_year_mean_1917-01-01","1917-01-01T00:00:00Z",-0.27,"five_year_mean"
77,,,"annual_mean_1918-01-01","1918-01-01T00:00:00Z",-0.26,"annual_mean"
78,,,"five_year_mean_1918-01-01","1918-01-01T00:00:00Z",-0.27,"five_year_mean"
79,,,"annual_mean_1919-01-01","1919-01-01T00:00:00Z",-0.22,"annual_mean"
80,,,"five_year_mean_1919-01-01","1919-01-01T00:00:00Z",-0.27,"five_year_mean"
81,,,"annual_mean_1920-01-01","1920-01-01T00:00:00Z",-0.27,"annual_mean"
82,,,"five_year_mean_1920-01-01","1920-01-01T00:00:00Z",-0.26,"five_year_mean"
83,,,"annual_mean_1921-01-01","1921-01-01T00:00:00Z",-0.21,"annual_mean"
84,,,"five_year_mean_1921-01-01","1921-01-01T00:00:00Z",-0.25,"five_year_mean"
85,,,"annual_mean_1922-01-01","1922-01-01T00:00:00Z",-0.28,"annual_mean"
86,,,"five_year_mean_1922-01-01","1922-01-01T00:00:00Z",-0.25,"five_year_mean"
87,,,"annual_mean_1923-01-01","1923-01-01T00:00:00Z",-0.24,"annual_mean"
88,,,"five_year_mean_1923-01-01","1923-01-01T00:00:00Z",-0.24,"five_year_mean"
89,,,"annual_mean_1924-01-01","1924-01-01T00:00:00Z",-0.28,"annual_mean"
90,,,"five_year_mean_1924-01-01","1924-01-01T00:00:00Z",-0.23,"five_year_mean"
91,,,"annual_mean_1925-01-01","1925-01-01T00:00:00Z",-0.21,"annual_mean"
92,,,"five_year_mean_1925-01-01","1925-01-01T00:00:00Z",-0.22,"five_year_mean"
93,,,"annual_mean_1926-01-01","1926-01-01T00:00:00Z",-0.1,"annual_mean"
94,,,"five_year_mean_1926-01-01","1926-01-01T00:00:00Z",-0.21,"five_year_mean"
95,,,"annual_mean_1927-01-01","1927-01-01T00:00:00Z",-0.21,"annual_mean"
96,,,"five_year_mean_1927-01-01","1927-01-01T00:00:00Z",-0.21,"five_year_mean"
97,,,"annual_mean_1928-01-01","1928-01-01T00:00:00Z",-0.21,"annual_mean"
98,,,"five_year_mean_1928-01-01","1928-01-01T00:00:00Z",-0.19,"five_year_mean"
99,,,"annual_mean_1929-01-01","1929-01-01T00:00:00Z",-0.36,"annual_mean"
100,,,"five_year_mean_1929-01-01","1929-01-01T00:00:00Z",-0.19,"five_year_mean"
101,,,"annual_mean_1930-01-01","1930-01-01T00:00:00Z",-0.15,"annual_mean"
102,,,"five_year_mean_1930-01-01","1930-01-01T00:00:00Z",-0.19,"five_year_mean"
103,,,"annual_mean_1931-01-01","1931-01-01T00:00:00Z",-0.09,"annual_mean"
104,,,"five_year_mean_1931-01-01","1931-01-01T00:00:00Z",-0.19,"five_year_mean"
105,,,"annual_mean_1932-01-01","1932-01-01T00:00:00Z",-0.17,"annual_mean"
106,,,"five_year_mean_1932-01-01","1932-01-01T00:00:00Z",-0.18,"five_year_mean"
107,,,"annual_mean_1933-01-01","1933-01-01T00:00:00Z",-0.28,"annual_mean"
108,,,"five_year_mean_1933-01-01","1933-01-01T00:00:00Z",-0.17,"five_year_mean"
109,,,"annual_mean_1934-01-01","1934-01-01T00:00:00Z",-0.14,"annual_mean"
